id,breed,color,angle,position,properties,parent
13,lezard,#000000,33,0:322.76377799336;1:399.02533134568,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,207,0:74.954474011804;1:537.5108696919,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,310,0:103.41993647814;1:78.95001756789,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,176,0:343.79927426003;1:417.36112649224,hungry:true;life:-10;hunger:0,world
10,lezard,#000000,188,0:231.81882614036;1:380.15780315691,hungry:true;life:-10;hunger:0,world
283,papillon,#00ff00,356,0:598.13326813804;1:151.34268288016,life:1438,260
282,papillon,#00ff00,349,0:653.56623961399;1:91.517378110025,life:2621,251
280,papillon,#ff0000,234,0:451.28859779985;1:745.63801645986,life:3109,245
276,papillon,#00ff00,350,0:674.2126172601;1:292.66650616184,life:3640,71
269,papillon,#00ff00,150,0:324.33452068051;1:468.83257739383,life:4192,199
272,papillon,#00ff00,81,0:324.61344523057;1:184.20412224741,life:4157,260
261,papillon,#00ff00,198,0:599.935590919;1:351.94932465366,life:4119,255
260,papillon,#00ff00,245,0:548.83100537769;1:515.39718527732,life:2672,0
288,papillon,#00ff00,161,0:189.28674671765;1:417.61776697002,life:462,199
284,papillon,#00ff00,132,0:778.68958869767;1:447.61844451592,life:1438,226
277,papillon,#00ff00,254,0:296.06642326406;1:400.29579620503,life:3466,172
259,papillon,#ff0000,168,0:83.353502223169;1:531.59959308573,life:6818,226
279,papillon,#00ff00,109,0:651.17365726662;1:53.123813386197,life:3147,237
258,papillon,#00ff00,166,0:671.06160370448;1:323.38588994159,life:7127,242
251,papillon,#00ff00,242,0:384.27971217342;1:610.67765003083,life:2666,121
250,papillon,#00ff00,122,0:756.67675703741;1:11.423692149457,life:8997,241
245,papillon,#00ff00,316,0:538.43631175913;1:218.73187205389,life:3105,99
237,papillon,#00ff00,11,0:737.05899567044;1:562.321921147,life:3177,0
271,papillon,#00ff00,127,0:361.0416144385;1:161.32412895707,life:4250,99
239,papillon,#00ff00,247,0:173.64752164746;1:29.027972151242,life:7090,86
226,papillon,#00ff00,112,0:633.39520198084;1:178.03021001752,life:1427,221
285,papillon,#00ff00,320,0:243.20949843154;1:280.75690761557,life:1421,283
224,papillon,#00ff00,290,0:615.95970312835;1:618.11182550238,life:5811,216
221,papillon,#00ff00,121,0:282.36671750742;1:691.87256658382,life:11335,99
257,papillon,#00ff00,80,0:94.607885401181;1:726.75518895139,life:7113,239
199,papillon,#00ff00,128,0:136.45332363216;1:480.44404156849,life:486,46
191,papillon,#00ff00,189,0:122.71637072141;1:783.14304114777,life:16105,178
268,papillon,#00ff00,147,0:179.48736289042;1:89.356682637496,life:5265,260
247,papillon,#00ff00,159,0:785.99366365735;1:696.71540997628,life:9422,237
176,papillon,#00ff00,15,0:433.11995848544;1:532.92500232402,life:9915,173
220,papillon,#00ff00,114,0:461.89722880521;1:79.698884481228,life:13452,177
275,papillon,#00ff00,52,0:121.81172246061;1:217.4631071971,life:3673,246
234,papillon,#00ff00,228,0:566.12813640888;1:702.47265271202,life:11040,172
99,papillon,#00ff00,43,0:717.70886853331;1:163.5785723345,life:4228,93
172,papillon,#00ff00,169,0:366.7841357425;1:275.04282141955,life:3475,147
71,papillon,#00ff00,198,0:168.18534711552;1:0.47453577634469,life:3661,57
1,papillon,#00ff00,127,0:246.64474375099;1:763.89433678687,life:19060,world
278,papillon,#00ff00,60,0:18.972756240816;1:33.923566769894,life:499,270
262,papillon,#00ff00,95,0:82.966694908105;1:472.83976635711,life:475,208
287,papillon,#00ff00,188,0:698.12762871344;1:515.29974184693,life:481,262
273,papillon,#00ff00,345,0:479.65034983559;1:251.01911087019,life:4184,269
0,papillon,#00ff00,329,0:222.2778045182;1:378.58415874578,life:5775,world
