id,breed,color,angle,position,properties,parent
13,lezard,#000000,335,0:207.26753320362;1:615.10608985854,hungry:false;life:-10;hunger:44,world
12,lezard,#000000,136,0:384.82196051123;1:626.17782659246,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,34,0:280.12874308829;1:443.49025192788,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,204,0:449.13955880345;1:181.98104206261,hungry:true;life:-10;hunger:0,world
10,lezard,#000000,97,0:5.3561522343174;1:237.42087918276,hungry:true;life:-10;hunger:0,world
222,papillon,#00ff00,115,0:221.27170466506;1:548.00579885035,life:69,177
221,papillon,#00ff00,177,0:577.84937002605;1:411.89493749533,life:71,99
211,papillon,#ff0000,158,0:454.16241545629;1:349.02388993489,life:1112,188
208,papillon,#ff0000,293,0:334.76834696307;1:257.79846297806,life:1258,177
203,papillon,#ff0000,189,0:110.68959771822;1:116.06231493864,life:1923,196
217,papillon,#00ff00,49,0:208.29322735285;1:33.176464246766,life:208,213
218,papillon,#ff0000,172,0:257.49866838698;1:65.093157722328,life:199,207
199,papillon,#00ff00,59,0:497.39617409298;1:287.37485464909,life:2798,46
209,papillon,#ff0000,91,0:358.71721635554;1:88.378296097263,life:1263,204
207,papillon,#00ff00,169,0:748.98772739436;1:724.67309810256,life:203,163
194,papillon,#00ff00,142,0:707.81894037929;1:699.673138157,life:2890,161
196,papillon,#ff0000,291,0:55.890748100191;1:482.81350916526,life:505,71
191,papillon,#00ff00,334,0:152.27841418813;1:568.21325756913,life:2781,178
173,papillon,#00ff00,143,0:775.98359109502;1:238.72339058586,life:4591,143
159,papillon,#00ff00,276,0:637.13480757946;1:410.07996826463,life:6355,123
219,papillon,#ff0000,175,0:510.42214127196;1:93.651188292367,life:198,197
176,papillon,#00ff00,79,0:558.64285211422;1:62.422611666612,life:1619,173
220,papillon,#00ff00,102,0:771.61413015246;1:29.361843547612,life:196,177
177,papillon,#00ff00,356,0:699.3264743175;1:100.1604139974,life:75,86
124,papillon,#00ff00,281,0:565.78405883451;1:590.65881273549,life:9061,100
190,papillon,#00ff00,35,0:555.83618262102;1:740.54573274743,life:3479,184
84,papillon,#00ff00,155,0:615.040317795;1:575.81119817074,life:6915,6
99,papillon,#00ff00,281,0:694.13133242751;1:105.11987587543,life:73,93
214,papillon,#ff0000,140,0:166.97451734431;1:556.08846599497,life:902,24
172,papillon,#00ff00,337,0:173.44389350777;1:60.657918742318,life:4900,147
213,papillon,#00ff00,179,0:637.02165232387;1:49.247875851734,life:213,121
212,papillon,#00ff00,141,0:500.95301878409;1:280.01656629174,life:1085,57
86,papillon,#00ff00,15,0:397.71616083687;1:536.6609590917,life:4589,46
71,papillon,#00ff00,18,0:159.51232880938;1:136.54756776115,life:2805,57
57,papillon,#00ff00,51,0:311.74178942796;1:256.43607591721,life:1081,27
1,papillon,#00ff00,265,0:708.71868062962;1:733.74977074853,life:5845,world
216,papillon,#ff0000,265,0:650.65268653901;1:14.750943982016,life:502,198
46,papillon,#00ff00,321,0:562.58231843237;1:798.13543036541,life:2772,17
205,papillon,#ff0000,164,0:357.94898112653;1:71.985222840238,life:1742,139
121,papillon,#00ff00,193,0:368.35890565294;1:249.42952716094,life:1084,46
0,papillon,#00ff00,69,0:153.64368552729;1:169.7985550238,life:6271,world
197,papillon,#ff0000,287,0:797.09719548248;1:628.87154339467,life:205,191
24,papillon,#00ff00,267,0:418.74645863011;1:577.73738714987,life:907,20
