id,breed,color,angle,position,properties,parent
13,lezard,#000000,183,0:399.42570288517;1:46.230962206267,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,275,0:85.132490743893;1:132.75744099025,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,219,0:97.126848457907;1:686.03828189969,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,353,0:668.08731711788;1:288.48112963043,hungry:false;hunger:34,world
10,lezard,#000000,293,0:268.54621060511;1:213.44661799343,hungry:true;hunger:0,world
85,papillon,#ff0000,235,0:765.62410364613;1:368.33191191704,life:96,4
84,papillon,#00ff00,247,0:506.12140044991;1:610.73152209279,life:98,6
83,papillon,#ff0000,70,0:38.349429557355;1:663.05537807415,life:103,63
82,papillon,#ff0000,138,0:249.82675635909;1:517.22576284262,life:305,76
79,papillon,#ff0000,252,0:308.318147073;1:652.92794949934,life:404,68
78,papillon,#ff0000,249,0:79.408709019965;1:798.33497889784,life:448,25
76,papillon,#ff0000,178,0:641.98572590954;1:25.550854892279,life:303,0
74,papillon,#ff0000,284,0:565.83501747058;1:55.231231525669,life:822,24
73,papillon,#ff0000,337,0:265.85528291032;1:768.69666540132,life:850,57
72,papillon,#ff0000,7,0:119.81266788572;1:780.93774894381,life:829,20
86,papillon,#00ff00,15,0:710.24150769373;1:387.37843630852,life:95,46
71,papillon,#00ff00,353,0:115.5650017286;1:533.9098890859,life:947,57
69,papillon,#ff0000,129,0:675.57003170668;1:30.166905776618,life:303,59
65,papillon,#ff0000,58,0:321.69615752429;1:308.08420447119,life:1477,61
59,papillon,#ff0000,79,0:658.48297654264;1:754.22648540187,life:412,41
57,papillon,#00ff00,58,0:235.1164735347;1:350.92482187675,life:858,27
70,papillon,#ff0000,132,0:539.65785514376;1:95.188276834836,life:973,20
54,papillon,#ff0000,312,0:431.91885932326;1:362.11755227672,life:2164,24
53,papillon,#00ff00,339,0:53.550376311891;1:634.67738481835,life:2191,19
45,papillon,#ff0000,265,0:561.26872722465;1:516.03204996364,life:2985,37
68,papillon,#ff0000,300,0:680.03639857849;1:618.89872957301,life:405,25
6,papillon,#ff0000,259,0:408.35075841572;1:215.84054909398,life:97,world
4,papillon,#ff0000,223,0:657.21420472861;1:313.44092014606,life:100,world
1,papillon,#00ff00,315,0:326.65759226718;1:787.3046979555,life:3550,world
7,papillon,#ff0000,179,0:462.95814432414;1:417.23086004489,life:4027,world
46,papillon,#00ff00,128,0:411.11270497253;1:242.4624345862,life:97,17
0,papillon,#00ff00,99,0:467.41611598404;1:562.23027372326,life:584,world
25,papillon,#00ff00,243,0:674.10730116263;1:739.21874676202,life:437,1
26,papillon,#00ff00,235,0:538.12046078319;1:427.52829094333,life:1657,22
81,papillon,#ff0000,337,0:734.87734206381;1:385.95011154512,life:305,69
23,papillon,#ff0000,235,0:195.50679839971;1:115.36529013346,life:2856,18
80,papillon,#ff0000,67,0:142.58070488617;1:798.46063082182,life:400,59
24,papillon,#00ff00,104,0:185.61532304761;1:682.95553824003,life:836,20
