id,breed,color,angle,position,properties,parent
13,lezard,#000000,326,0:293.15458342128;1:210.09494823459,hungry:true;life:-10;hunger:0,world
12,lezard,#000000,244,0:239.58381988344;1:751.15424316243,hungry:true;life:-10;hunger:0,world
14,lezard,#000000,273,0:735.70832596654;1:503.93735811686,hungry:true;life:-10;hunger:0,world
11,lezard,#000000,137,0:195.56287403983;1:408.74832436901,hungry:true;life:-10;hunger:0,world
10,lezard,#000000,247,0:662.40141894928;1:140.45832458609,hungry:true;life:-10;hunger:0,world
305,papillon,#00ff00,29,0:218.19124114939;1:326.96539270075,life:754,272
298,papillon,#00ff00,125,0:520.77572816229;1:103.78740944745,life:1105,237
297,papillon,#00ff00,100,0:323.72805078032;1:613.4478275487,life:2747,287
301,papillon,#00ff00,140,0:556.87741501161;1:788.4871401777,life:1110,298
294,papillon,#00ff00,291,0:548.79780113595;1:248.56195351666,life:3192,285
292,papillon,#00ff00,239,0:342.35846340757;1:600.32478084375,life:3176,0
291,papillon,#00ff00,286,0:721.97912438246;1:57.13031902044,life:2769,262
302,papillon,#00ff00,268,0:480.8125882647;1:319.83874436215,life:1120,237
300,papillon,#00ff00,91,0:696.0546248168;1:209.30727709833,life:1144,278
289,papillon,#ff0000,196,0:510.07377975046;1:265.0957207482,life:4302,262
283,papillon,#00ff00,307,0:715.15802251224;1:212.38841624526,life:5885,260
272,papillon,#00ff00,339,0:71.989152633134;1:619.51209662794,life:785,260
261,papillon,#00ff00,185,0:405.3244155131;1:346.4449170332,life:8562,255
299,papillon,#00ff00,214,0:351.52918702942;1:273.57535505737,life:1214,172
288,papillon,#00ff00,50,0:217.69953912011;1:543.41036790296,life:778,199
284,papillon,#00ff00,199,0:644.50754711721;1:476.16402296044,life:5906,226
277,papillon,#00ff00,50,0:367.9457043321;1:440.40413724603,life:3725,172
279,papillon,#00ff00,122,0:157.2169245934;1:282.13245895698,life:1101,237
258,papillon,#00ff00,172,0:560.02523809258;1:40.779810070302,life:11579,242
251,papillon,#00ff00,349,0:175.06846069016;1:663.70557112532,life:7100,121
237,papillon,#00ff00,167,0:661.31504679252;1:45.486029547816,life:1105,0
271,papillon,#00ff00,144,0:272.2283083991;1:124.32366350781,life:8614,99
239,papillon,#00ff00,346,0:415.5894454959;1:77.574654643317,life:11538,86
295,papillon,#00ff00,338,0:632.79653754543;1:790.91448098799,life:2726,273
285,papillon,#00ff00,76,0:636.29710769479;1:382.04367408167,life:3190,283
224,papillon,#00ff00,249,0:563.03170971913;1:727.59251771188,life:10239,216
221,papillon,#00ff00,255,0:398.44737217807;1:532.91174439406,life:15707,99
257,papillon,#00ff00,279,0:210.98186255589;1:716.58594896292,life:11570,239
191,papillon,#00ff00,282,0:100.50594475867;1:744.78985310704,life:20583,178
304,papillon,#00ff00,15,0:264.72656407602;1:360.62709710662,life:746,288
268,papillon,#00ff00,151,0:84.29642352159;1:308.42785891633,life:9636,260
176,papillon,#00ff00,104,0:384.04089353224;1:681.56839434425,life:14398,173
296,papillon,#00ff00,98,0:125.55272381145;1:402.47592352349,life:2721,291
220,papillon,#00ff00,95,0:496.12186452715;1:239.70018232953,life:17862,177
275,papillon,#00ff00,185,0:114.81909232783;1:375.11465349009,life:8101,246
234,papillon,#00ff00,185,0:503.60329719985;1:557.36223361415,life:15464,172
172,papillon,#00ff00,82,0:24.807175803203;1:89.164945896795,life:1199,147
290,papillon,#00ff00,150,0:355.48820823075;1:751.61471346829,life:3736,277
71,papillon,#00ff00,3,0:246.44308797361;1:434.63353681684,life:8068,57
278,papillon,#00ff00,128,0:148.88252592286;1:17.866821575396,life:1189,270
287,papillon,#00ff00,313,0:682.26199968723;1:524.28817887623,life:2780,262
273,papillon,#00ff00,0,0:487.19271644607;1:46.118713405215,life:2742,269
0,papillon,#00ff00,127,0:54.86536062996;1:13.047414784714,life:3168,world
